SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
PIVUS047_Aligned--06_immune_output,137,11,12,161,113,4,1,373,390,74,212,420,12,2,4.36811021033,0.987920204214,2.0350005856,4.90487998493,3.5443136683800005,1.07513932401,-0.0
PIVUS048_Aligned--06_immune_output,90,12,14,123,91,3,1,207,242,53,146,436,12,2,4.21024762185,1.00769675659,2.35458153131,4.73374514912,3.3589540475999997,0.8239592165009999,-0.0
PIVUS049_Aligned--06_immune_output,46,17,6,244,111,2,1,62,115,15,304,292,2,5,3.7356230567699997,1.84575731982,1.6565511267,5.37065156003,4.0393325111500005,0.6931471805600001,-0.0
PIVUS050_Aligned--06_immune_output,26,8,9,217,128,2,2,41,80,11,288,412,2,3,2.9607580158499998,0.78693203639,2.14584175259,5.18611096905,4.09179929208,0.6931471805600001,0.636514168295
PIVUS051_Aligned--06_immune_output,34,10,10,100,72,4,2,38,84,19,121,229,4,3,3.4916604375,1.3506822327,2.2051551012,4.502953531459999,3.6741618230300004,1.3862943611200003,0.636514168295
PIVUS052_Aligned--06_immune_output,99,13,10,178,86,3,1,147,206,39,206,273,3,1,4.4764959293,1.37281896378,1.9269730785599997,5.09309968998,3.85399028114,1.09861228867,-0.0
PIVUS053_Aligned--06_immune_output,131,16,15,244,145,5,1,230,223,62,299,538,5,5,4.69830628625,1.41185758849,2.2650607114400003,5.382668263099999,4.1050623452699995,1.60943791243,-0.0
PIVUS054_Aligned--06_immune_output,10,4,4,223,50,3,0,13,17,6,242,129,3,0,2.2047854169099996,1.00621456594,1.32966134885,5.36928552128,3.09750231643,1.09861228867,0
PIVUS055_Aligned--06_immune_output,18,6,6,147,111,1,1,32,45,8,178,302,1,2,2.71563822316,1.18262089199,1.7328679513999998,4.9018988847500005,4.14186438958,-0.0,-0.0
PIVUS056_Aligned--06_immune_output,3,2,4,160,87,3,2,4,15,8,230,315,5,11,1.0397207708399998,0.24493002679499998,1.21300756598,4.79909018609,3.8649139029300006,1.05492016799,0.655481773901
PIVUS057_Aligned--06_immune_output,133,20,23,191,98,1,0,224,282,71,216,237,3,0,4.70166780204,1.4915398188799998,2.55985677681,5.16985008117,3.9818852902999997,-0.0,0
PIVUS058_Aligned--06_immune_output,84,13,9,164,107,0,0,140,151,32,190,311,0,0,4.25175269254,1.442462105,1.8328527429700001,5.006552538369999,3.94041250111,0.0,0
PIVUS059_Aligned--06_immune_output,35,7,7,280,70,0,0,50,72,19,317,160,0,0,3.4647398084699996,1.00248598596,1.8366975604299998,5.54725357342,3.7210956696800004,0.0,0
PIVUS060_Aligned--06_immune_output,44,6,10,87,76,3,1,86,124,42,97,176,9,2,3.57139969329,0.859511868698,1.9271263246700001,4.426399723299999,3.85647734417,0.848685557726,-0.0
PIVUS061_Aligned--06_immune_output,218,18,19,149,91,6,1,361,341,73,163,263,7,1,5.0958975692,1.5507104178,2.63105727565,4.96505163954,3.72857285169,1.74786809747,-0.0
PIVUS062_Aligned--06_immune_output,169,15,17,170,140,1,0,263,295,61,188,434,1,0,4.90173868614,1.0626707287600001,2.42576844227,5.10092841685,4.0489790154800005,-0.0,0
PIVUS063_Aligned--06_immune_output,58,12,10,209,127,4,1,117,238,31,259,435,4,6,3.7689319919999997,1.18297558151,1.9489020239800001,5.21012366994,3.8755196832699994,1.3862943611200003,-0.0
PIVUS064_Aligned--06_immune_output,55,8,12,293,127,3,2,83,75,25,349,467,3,7,3.87690095436,1.17462393471,2.35883127964,5.57351391205,3.8342574952599997,1.09861228867,0.410116318288
PIVUS065_Aligned--06_immune_output,170,14,20,204,193,5,1,451,272,316,226,655,5,2,4.34989165926,1.03963026345,1.4813021780899998,5.276324961569999,4.16964335849,1.60943791243,-0.0
PIVUS066_Aligned--06_immune_output,70,16,15,236,96,0,1,140,136,56,264,294,0,1,3.9920123752,1.25033547082,2.3767855902400004,5.40299233276,3.754818872,0.0,-0.0
PIVUS067_Aligned--06_immune_output,59,11,13,320,96,7,1,68,98,22,352,249,21,2,4.0283327435,0.746219985095,2.43712464631,5.723063924480001,3.88275545447,1.21913686745,-0.0
PIVUS068_Aligned--06_immune_output,160,14,17,501,120,5,2,248,337,129,589,356,32,10,4.91624680635,1.15683899571,2.22411664554,6.1019914341799995,3.95644772829,1.1897188879,0.6730116670090001
PIVUS069_Aligned--06_immune_output,66,13,9,70,71,0,0,89,78,38,85,153,0,0,4.08746945607,1.51089356727,1.8630525381999998,4.11030848748,3.90661480685,0.0,0
PIVUS070_Aligned--06_immune_output,58,8,12,73,29,1,0,82,83,33,84,55,1,0,3.91715322318,0.8500814559250001,2.2753299854599995,4.23681996242,3.13416670228,-0.0,0
PIVUS071_Aligned--06_immune_output,132,21,19,80,87,3,1,252,289,51,98,260,4,2,4.588798454080001,1.2251459465799999,2.40637632285,4.296710995340001,3.7578457370800002,1.0397207708399998,-0.0
PIVUS072_Aligned--06_immune_output,88,21,13,116,116,4,2,172,238,41,142,353,9,2,4.19543334701,1.61468151366,2.13090587453,4.66773385558,4.07506531855,1.21488965395,0.6931471805600001
PIVUS073_Aligned--06_immune_output,116,15,20,89,125,0,0,196,180,68,103,312,0,0,4.2931945785300005,1.42223106076,2.417543886,4.42776138085,4.18413064163,0.0,0
PIVUS074_Aligned--06_immune_output,50,13,10,87,85,0,2,79,113,32,107,194,0,2,3.4440918894099997,1.29167296167,1.85264715653,4.38608186236,3.9641079718900003,0.0,0.6931471805600001
PIVUS075_Aligned--06_immune_output,86,11,9,95,94,4,1,118,91,15,133,448,5,2,4.307974224480001,1.3198337603899999,2.0837660374900002,4.40366559165,3.77497155911,1.33217904021,-0.0
PIVUS076_Aligned--06_immune_output,74,9,10,70,67,0,0,103,157,15,82,216,0,0,4.1702561096699995,0.902373773786,2.17618566156,4.20384690173,3.7423659140099996,0.0,0
PIVUS077_Aligned--06_immune_output,74,10,8,74,84,3,0,119,131,37,87,234,3,0,4.129755584840001,0.829295824335,1.7695334845599997,4.24673199242,3.79548348709,1.09861228867,0
PIVUS078_Aligned--06_immune_output,117,9,11,64,71,2,0,240,179,43,76,202,2,0,4.30079817111,0.85521641082,1.8877698230400002,4.10495991295,3.7059955582099997,0.6931471805600001,0
PIVUS079_Aligned--06_immune_output,80,7,8,109,111,4,1,119,84,43,129,457,5,2,4.2441276190599995,0.9664856734270001,1.86611117681,4.62602420381,3.7062724298000003,1.33217904021,-0.0
PIVUS080_Aligned--06_immune_output,67,7,11,120,115,1,1,85,41,33,134,385,3,5,4.12445959678,1.04306861794,2.12579050769,4.730426506540001,3.53898232939,-0.0,-0.0
PIVUS081_Aligned--06_immune_output,75,9,10,59,71,0,0,109,112,21,64,161,0,0,4.15149526896,1.03057007739,2.1614236359,4.0505788364,3.7094501649400002,0.0,0
PIVUS082_Aligned--06_immune_output,177,22,20,47,48,1,0,336,333,151,61,108,2,0,4.78195275944,1.63003553321,2.4174159993,3.7614039697400004,3.54501988916,-0.0,0
PIVUS085_Aligned--06_immune_output,45,3,7,86,35,1,0,56,16,11,99,54,1,0,3.7343564361,0.777462131911,1.66633258533,4.38850755374,3.36605877236,-0.0,0
PIVUS086_Aligned--06_immune_output,32,6,5,49,55,0,0,46,37,10,64,150,0,0,3.35383896813,1.12212065171,1.50478828368,3.5382675937199997,3.53118921947,0.0,0
PIVUS087_Aligned--06_immune_output,81,9,12,82,76,1,0,112,96,32,101,206,2,0,4.2613045424800005,1.01600733414,2.05186665757,4.30547303538,3.6645537284599996,-0.0,0
PIVUS088_Aligned--06_immune_output,188,19,15,82,101,2,0,307,309,80,94,261,2,0,5.069721446030001,1.3613743722299998,2.4206231004900003,4.351573221690001,3.9891324381699995,0.6931471805600001,0
PIVUS089_Aligned--06_immune_output,92,13,9,79,118,1,0,175,121,41,93,395,1,0,4.18990755187,1.43771249665,1.9854393336200002,4.28284458922,3.8531725520099998,-0.0,0
PIVUS090_Aligned--06_immune_output,23,3,5,107,85,0,1,32,4,7,118,222,0,1,3.02678610026,1.0397207708399998,1.54982604588,4.63701948789,3.7564588190699997,0.0,-0.0
PIVUS091_Aligned--06_immune_output,67,10,8,84,105,1,0,108,83,19,117,413,1,0,3.8417996788,1.3099193350799998,1.8857642807700001,4.26890714852,3.9497128015499996,-0.0,0
PIVUS092_Aligned--06_immune_output,143,19,13,89,39,1,1,247,379,54,108,91,1,1,4.67435043865,1.50705380834,2.02699772915,4.37145770636,3.2581641214899997,-0.0,-0.0
PIVUS093_Aligned--06_immune_output,143,19,18,76,102,4,1,234,250,55,119,493,6,1,4.816609955540001,1.51070573262,2.49360555224,4.1150228579400006,3.2904768591000004,1.2424533248899998,-0.0
PIVUS094_Aligned--06_immune_output,160,20,19,49,65,3,1,270,351,76,62,315,3,2,4.84775456886,1.58405789477,2.44346865389,3.7201186741400005,2.8102377231,1.09861228867,-0.0
